total,success,failure,corruptRecords
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 4, 20), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 4, 30), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 4, 40), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 4, 50), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 5, 0), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 5, 10), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 5, 20), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 5, 30), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 5, 40), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 5, 50), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 6, 0), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 6, 10), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 6, 20), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 6, 30), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 6, 40), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 6, 50), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 7, 0), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 7, 10), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 7, 20), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 7, 30), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 7, 40), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 7, 50), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 8, 0), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 8, 10), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 8, 20), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 8, 30), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 8, 40), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 8, 50), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 9, 0), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 9, 10), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 9, 20), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 9, 30), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 9, 40), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 9, 50), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 10, 0), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 10, 10), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 10, 20), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 10, 30), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 10, 40), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 10, 50), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 11, 0), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 11, 10), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 11, 20), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 11, 30), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 11, 40), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 11, 50), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 12, 0), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 12, 10), 'Temp_C': '10.98'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 12, 20), 'Temp_C': '10.98'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 12, 30), 'Temp_C': '10.98'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 12, 40), 'Temp_C': '10.98'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 12, 50), 'Temp_C': '10.98'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 13, 0), 'Temp_C': '10.98'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 13, 10), 'Temp_C': '10.98'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 13, 20), 'Temp_C': '10.98'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 13, 30), 'Temp_C': '10.98'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 13, 40), 'Temp_C': '10.98'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 13, 50), 'Temp_C': '10.98'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 14, 0), 'Temp_C': '10.98'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 14, 10), 'Temp_C': '10.98'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 14, 20), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 14, 30), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 14, 40), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 14, 50), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 15, 0), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 15, 10), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 15, 20), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 15, 30), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 15, 40), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 15, 50), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 16, 0), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 16, 10), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 16, 20), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 16, 30), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 16, 40), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 16, 50), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 17, 0), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 17, 10), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 17, 20), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 17, 30), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 17, 40), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 17, 50), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 18, 0), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 18, 10), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 18, 20), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 18, 30), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 18, 40), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 18, 50), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 19, 0), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 19, 10), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 19, 20), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 19, 30), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 19, 40), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 19, 50), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 20, 0), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 20, 10), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 20, 20), 'Temp_C': '11.27'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 20, 30), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 20, 40), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 20, 50), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 21, 0), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 21, 10), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 21, 20), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 21, 30), 'Temp_C': '11.56'}"
